% time	cellId	IMSI	RNTI	rsrp	sinr	ComponentCarrierId
0.000214285	1	0	0	4.39152e-12	9258.14	0
0.000214285	1	0	0	3.24802e-12	6847.43	0
0.00121429	1	0	0	4.39152e-12	9258.14	0
0.00121429	1	0	0	3.24802e-12	6847.43	0
0.00221428	1	0	0	4.39152e-12	9258.14	0
0.00221428	1	0	0	3.24802e-12	6847.43	0
0.00321428	1	0	0	4.39152e-12	9258.14	0
0.00321428	1	0	0	3.24802e-12	6847.43	0
0.00421428	1	0	0	4.39152e-12	9258.14	0
0.00421428	1	0	0	3.24802e-12	6847.43	0
0.00521428	1	0	0	4.39152e-12	9258.14	0
0.00521428	1	0	0	3.24802e-12	6847.43	0
0.00621428	1	0	0	4.39152e-12	9258.14	0
0.00621428	1	0	0	3.24802e-12	6847.43	0
0.00721428	1	0	0	4.39152e-12	9258.14	0
0.00721428	1	0	0	3.24802e-12	6847.43	0
0.00821428	1	0	0	4.39152e-12	9258.14	0
0.00821428	1	0	0	3.24802e-12	6847.43	0
0.00921428	1	0	0	4.39152e-12	9258.14	0
0.00921428	1	0	0	3.24802e-12	6847.43	0
0.0102143	1	0	0	4.39152e-12	9258.14	0
0.0102143	1	0	0	3.24802e-12	6847.43	0
0.0112143	1	0	0	4.39152e-12	9258.14	0
0.0112143	1	0	0	3.24802e-12	6847.43	0
0.0122143	1	0	0	4.39152e-12	9258.14	0
0.0122143	1	0	0	3.24802e-12	6847.43	0
0.0132143	1	0	0	4.39152e-12	9258.14	0
0.0132143	1	0	0	3.24802e-12	6847.43	0
0.0142143	1	0	0	4.39152e-12	9258.14	0
0.0142143	1	0	0	3.24802e-12	6847.43	0
0.0152143	1	0	0	4.39152e-12	9258.14	0
0.0152143	1	0	0	3.24802e-12	6847.43	0
0.0162143	1	0	0	4.39152e-12	9258.14	0
0.0162143	1	0	0	3.24802e-12	6847.43	0
0.0172143	1	0	0	4.39152e-12	9258.14	0
0.0172143	1	0	0	3.24802e-12	6847.43	0
0.0182143	1	0	0	4.39152e-12	9258.14	0
0.0182143	1	0	0	3.24802e-12	6847.43	0
0.0192143	1	0	0	4.39152e-12	9258.14	0
0.0192143	1	0	0	3.24802e-12	6847.43	0
0.0202143	1	0	0	4.39152e-12	9258.14	0
0.0202143	1	0	0	3.24802e-12	6847.43	0
0.0212143	1	0	2	4.39152e-12	9258.14	0
0.0212143	1	0	1	3.24802e-12	6847.43	0
0.0222143	1	0	2	4.39152e-12	9258.14	0
0.0222143	1	0	1	3.24802e-12	6847.43	0
0.0232143	1	0	2	4.39152e-12	9258.14	0
0.0232143	1	0	1	3.24802e-12	6847.43	0
0.0242143	1	0	2	4.39152e-12	9258.14	0
0.0242143	1	0	1	3.24802e-12	6847.43	0
0.0252143	1	0	2	4.39152e-12	9258.14	0
0.0252143	1	0	1	3.24802e-12	6847.43	0
0.0262143	1	0	2	4.39152e-12	9258.14	0
0.0262143	1	0	1	3.24802e-12	6847.43	0
0.0272143	1	0	2	4.39152e-12	9258.14	0
0.0272143	1	0	1	3.24802e-12	6847.43	0
0.0282143	1	0	2	4.39152e-12	9258.14	0
0.0282143	1	0	1	3.24802e-12	6847.43	0
0.0292143	1	0	2	4.39152e-12	9258.14	0
0.0292143	1	0	1	3.24802e-12	6847.43	0
0.0302143	1	0	2	4.39152e-12	9258.14	0
0.0302143	1	0	1	3.24802e-12	6847.43	0
0.0312143	1	0	2	4.39152e-12	9258.14	0
